position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
23,103,5cjVsWqIkBQC7acTRhL0RO,Kamariya,Aastha Gill;Sachin Sanghvi;Jigar Saraiya;Divya Kumar,pop,0.6655136394723138,96.987,9A,0.666,0.763,4,0,4,-4.847,0.143,2.81e-06,0.237,0.0554
24,58,40a42KKcVcnqT3Wz24INIm,Enna Solla Pogirai,Shankar Mahadevan,pop,0.338704938492134,82.013,9A,0.438,0.331,4,0,4,-13.101,0.0303,9.1e-06,0.0862,0.164
25,138,2DzEnsDbTLHwPuIMAB2z0P,Feelinga,Garry Sandhu,pop,0.44159487069833075,96.059,10A,0.518,0.386,11,0,4,-8.755,0.236,2.39e-05,0.31,0.0656
26,12,3dPlLOjFnKpGpakkhPEIgF,OG,Prem Dhillon,pop,0.4555169570446588,96.706,10A,0.625,0.517,11,0,4,-9.081,0.00521,0.0,0.481,0.256
27,122,3EqgnmFJIarfSqSdBWMI8r,Qismat,Ammy Virk,pop,0.5343709812227696,87.726,10A,0.744,0.736,11,0,4,-5.105,0.498,0.0,0.381,0.132
28,18,6S6DFMfhwIZYHUffVzuWOI,June Ponal,Krishh;Arun,pop,0.5228836822413794,113.028,10A,0.489,0.667,11,0,4,-9.428,0.0386,0.0,0.162,0.0472
29,90,6sOC569sksrnsrpSIihTtn,"Aafat (From ""Liger"") - Remix By DJ Aqeel",Tanishk Bagchi;Zahrah S Khan;Dj Aqeel,pop,0.704200369711498,127.974,10A,0.892,0.683,11,0,4,-5.366,0.00114,0.0648,0.0586,0.0538
30,28,0C6G3mqMjVcIgTWbK9nFIE,"Aafat (From ""Liger"")",Tanishk Bagchi;Rashmi Virag;Zahrah S Khan,pop,0.7049956678530086,119.947,10A,0.805,0.433,11,0,4,-1.684,0.257,0.0,0.0885,0.155
31,37,7hUxzSsK2OHjeKWkzeArIU,"Meri Jaan Meri Jaan (From ""Bachchhan Paandey"")",B Praak,pop,0.5127485529523685,114.789,10B,0.692,0.242,2,1,4,-4.276,0.43,0.0,0.151,0.033
32,33,5w0Xpt2YHT2Y3z3e4UUJP7,Kaise Hua,Vishal Mishra,pop,0.35403816866386706,137.796,10B,0.467,0.162,2,1,4,-6.973,0.442,0.0,0.109,0.0411
33,50,6iH0uLBUSL8vcyiL8W9cRe,Christmas Lights,Coldplay,pop,0.2959145981411567,129.116,9B,0.418,0.237,7,1,4,-9.146,0.131,0.000679,0.0836,0.0299
34,20,4qIMmEjV8gaEsfZML9LALx,"Bodhai Kaname - From ""Oh Manapenne""",Vishal Chandrashekhar;Anirudh Ravichander;Shashaa Tirupati,pop,0.3542465542977208,160.047,9B,0.405,0.267,7,1,3,-12.327,0.152,3.44e-06,0.154,0.0424
35,19,4nrqr2KVU3eoaL9743jwoB,Laagi Lagan Shankara,Hansraj Raghuwanshi,pop,0.651806813440946,152.383,9B,0.903,0.523,7,1,3,-3.155,0.178,0.0,0.0918,0.122
36,95,7fec0UcxeHVe6kHIez2GSs,Orasaadha - Madras Gig,Vivek - Mervin,pop,0.6621240627971834,159.906,8B,0.776,0.606,0,1,4,-4.892,0.141,0.0,0.109,0.0807
37,22,4eK9eFdt832EyvTvACULdr,Deewane Hum Nahi - Version 1.0,Aditya Yadav,pop,0.49359947923128616,180.011,8B,0.498,0.238,0,1,4,-7.021,0.34,0.0,0.202,0.0518
38,52,0zuqABAUKs8WLVq8vCmfst,Sun Saathiya,Priya Saraiya;Divya Kumar,pop,0.4464388129756137,144.062,8A,0.668,0.263,9,0,4,-7.795,0.604,0.000145,0.141,0.0373
39,137,7eLvCsLfaeSHeezjOwJ96E,Yummy,Justin Bieber,pop,0.5557397475995745,145.843,8A,0.506,0.497,9,0,4,-6.652,0.345,0.0,0.118,0.0964
40,3,5O9jxRlG72h1sYxtqWwUcF,Shiddat Title Track,Manan Bhardwaj,pop,0.5174493931156559,149.921,8A,0.625,0.439,9,0,3,-6.497,0.288,0.0,0.133,0.0584
41,116,4yMbbysldl7E3WgiaugnwM,Bekhayali,Sachet Tandon,pop,0.47494047114573623,168.4,8A,0.582,0.365,9,0,3,-5.18,0.449,0.0,0.319,0.0413
42,55,5vX8Lsju18s8HnFNRSlwmj,Chupana Bhi Nahi Aata - Recreated Version,Stebin Ben,pop,0.35912663164894837,131.814,7A,0.249,0.274,2,0,3,-9.264,0.725,0.0,0.243,0.0287
43,75,53S98SFeRSxjd7F7eUnfAJ,Teri Hogaiyaan,Vishal Mishra,pop,0.37398222503202605,106.322,7B,0.43,0.51,5,1,5,-8.313,0.779,0.000172,0.0941,0.0336
44,148,1QqrfKrkjQb2IoI2R83tVR,Skate,Bruno Mars;Anderson .Paak;Silk Sonic,pop,0.5605408523827389,112.027,7B,0.598,0.698,5,1,4,-8.365,0.037,0.0,0.17,0.0291
45,44,4PwTeFfKqmR3XIeXXUBDOf,"Maiyya Mainu (From ""Jersey"")",Sachet-Parampara;Sachet Tandon,pop,0.5255668072806885,109.985,8B,0.739,0.224,0,1,4,-3.942,0.194,0.0,0.113,0.0248
46,53,2fqW8A7qmNqILZe4roj2Dx,Merry Christmas,Ed Sheeran;Elton John,pop,0.6845283489739533,113.99,8B,0.935,0.602,0,1,4,-2.018,0.243,2.36e-06,0.102,0.0357
47,66,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,pop,0.5713247012525866,95.39,8B,0.816,0.557,0,1,4,-4.209,0.122,0.0,0.335,0.0465
48,27,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,pop,0.5238550749688714,90.03,8B,0.696,0.464,0,1,4,-6.181,0.321,0.0,0.42,0.119
49,29,1WOz8NwADXFxRADQFVftxp,Jawani,Arjan Dhillon,pop,0.5346808630025665,99.944,9B,0.69,0.429,7,1,4,-7.811,0.00909,0.000661,0.359,0.0708
50,136,6TtNVOFQUbQDUbTQwdILH1,"Coka 2.0 (From ""Liger"")",Jaani;Lijo George-Dj Chetas;Sukh-E Muzical Doctorz;Lisa Mishra,pop,0.7534222189502594,96.933,9B,0.922,0.873,7,1,4,-3.025,0.411,2.36e-06,0.287,0.121
51,13,5QKiLD7zEXvQc8VlFYmqhb,"Coka 2.0 (From ""Liger (Telugu)"")",Jaani;Lijo George-Dj Chetas;Ram Miriyala;Geetha Madhuri;Sukh-E Muzical Doctorz,pop,0.7793626542860068,96.969,9B,0.929,0.828,7,1,4,-2.036,0.608,4.81e-06,0.157,0.118
52,9,3AYtDDIbG4DQxnEFELeFag,willow,Taylor Swift,pop,0.3649509634246121,80.961,9B,0.579,0.549,7,1,4,-9.195,0.835,0.00179,0.145,0.164
53,108,6X7pjnNm5dHSUot6hp3KFU,Lover,Taylor Swift,pop,0.3329530375763182,68.505,9B,0.543,0.453,7,1,4,-7.582,0.492,1.57e-05,0.118,0.0915
54,124,6Oq4lIhSSYdA6WuXU9sPeG,Baarish Lete Aana,Darshan Raval,pop,0.2897350501563905,67.018,10B,0.35,0.318,2,1,4,-8.937,0.838,0.0,0.108,0.0248
55,72,3lNIknH3h8S5xce8H0z5QA,Happiness is a butterfly,Lana Del Rey,pop,0.14772883127793113,70.499,10B,0.119,0.156,2,1,4,-10.99,0.969,1.4e-06,0.0973,0.0401
56,128,3D6c6ALN1czsDf9wwZIGmh,Main Royaan,Tanveer Evan;Yasser Desai;Rajat Nagpal,pop,0.36417369046683645,77.985,11B,0.478,0.255,9,1,4,-7.377,0.439,0.0,0.097,0.0256
57,8,7tp4iYvcZksGp1u7feUrrO,Mitti Di Khushboo,Rochak Kohli;Ayushmann Khurrana,pop,0.5276458688871268,94.989,11A,0.754,0.355,6,0,4,-4.873,0.395,0.0,0.209,0.0392
58,130,6IWZKBeAkeCzaYNE8SmedK,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Rochak Kohli;Jubin Nautiyal;Neeti Mohan,pop,0.6233286100602362,96.025,11A,0.86,0.585,6,0,4,-4.07,0.38,0.000547,0.147,0.0359
59,67,1ZaeaGLhFSckG8sv1y7AWk,Kya Baat Ay,Harrdy Sandhu,pop,0.6293511478329414,89.966,11A,0.592,0.652,6,0,4,-4.309,0.632,2.39e-06,0.108,0.102
60,15,6IaHIJYxIG8xbosaRr25AC,Parshawan,Harnoor,pop,0.47589446882460706,90.006,12A,0.44,0.43,1,0,4,-7.422,0.559,0.0,0.105,0.061
61,101,3BVjPpVvki8Jpm1Ew21UjH,"Inthandham (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar;S.P. Charan,pop,0.4402799617567865,99.894,12B,0.37,0.662,4,1,4,-9.922,0.661,0.0,0.109,0.0604
62,1,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,pop,0.3237163787951034,107.989,12B,0.379,0.201,4,1,4,-10.48,0.607,0.000464,0.0986,0.0476
63,0,45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,pop,0.3508549147849249,124.148,12B,0.373,0.0823,4,1,4,-9.389,0.785,0.0,0.0906,0.05
64,40,4BoFJMLSO3ZoD48KgnslSe,Mere Humsafar (Original Score) [Female Version],Yashal Shahid,pop,0.3864183618601308,143.691,12B,0.444,0.386,4,1,3,-9.804,0.744,0.0,0.0671,0.042
65,86,1xtlT8C62HToUvB0xmwvyi,Kurumugil,Vishal Chandrashekhar;Sai Vignesh,pop,0.3948468514011547,149.798,12B,0.342,0.599,4,1,3,-10.985,0.518,0.0,0.106,0.0636
66,123,0s76ExpXyMGVBlKLUr683e,Faasle,Aditya Rikhari,pop,0.4116414957498956,162.037,12A,0.324,0.493,1,0,3,-13.621,0.754,0.000727,0.103,0.0545
67,126,2VrSkfinwUSNc7uAXiL0FA,Let Me Down Slowly / Mai Dhoondhne Ko Zamaney / Kabhi Jo Badal Barsey (Medley),ShaSings;Xtreeemit,pop,0.4443796498294749,149.566,12A,0.371,0.496,1,0,4,-10.487,0.396,0.0,0.147,0.0431
68,80,2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,pop,0.5075585054175018,133.249,12A,0.525,0.51,1,0,4,-7.163,0.111,0.0,0.134,0.0627
69,2,1gMnyo0OUAL6HDJ39lyVwU,Hold On,Justin Bieber,pop,0.5363282257527311,139.98,12A,0.634,0.29,1,0,4,-5.797,0.0106,0.0,0.132,0.0413
70,129,7xe9vBhh7elaVAa2ZvuAYM,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey;Cedric Gervais,pop,0.48728994773342016,126.045,12A,0.81,0.106,1,0,4,-5.791,0.0147,6.94e-06,0.13,0.0557
71,43,1i5nDFmDSi8Q3UPRVnbc03,One Time,Justin Bieber,pop,0.7640264964319728,145.966,12A,0.856,0.74,1,0,4,-2.549,0.0689,7.82e-05,0.0761,0.0376
72,114,5S1102uVOmaQhwKcKGtLmO,Mere Liye,Akhil Sachdeva,pop,0.5015043850654719,178.213,12A,0.662,0.301,1,0,4,-5.88,0.573,0.0,0.35,0.0377
73,113,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,pop,0.6552928666065073,173.93,11A,0.731,0.662,6,0,4,-5.338,0.342,0.00101,0.311,0.0557
74,73,1hYaQRlsuEW4kMjjmjyow3,"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar;S.P. Charan;Ramya Behra,pop,0.4864441566554197,170.013,11A,0.425,0.548,6,0,4,-11.722,0.591,0.0,0.0908,0.0453
75,4,32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,Ami Mishra,pop,0.4031686484174055,147.935,11A,0.581,0.231,6,0,4,-5.945,0.433,0.0,0.0577,0.0338
76,142,7sJQv0LRPgM2xCkkdWOlyj,Mere Sohneya,Sachet Tandon;Parampara Tandon,pop,0.528433832285541,136.228,11B,0.643,0.646,9,1,5,-5.713,0.558,0.0,0.217,0.0411
77,62,2IoZMG3RqiTmsy7Li3zGFg,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon;Parampara Tandon;Sachet-Parampara,pop,0.528428432389489,136.224,11B,0.643,0.646,9,1,5,-5.713,0.558,0.0,0.217,0.0411
78,125,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,pop,0.6550721147212591,166.928,11B,0.664,0.688,9,1,4,-5.044,0.335,0.0,0.0849,0.154
79,42,5wLlnreR3EIrtRB0hJM6iY,Firefly - Bravado Dubstep Remix,Ed Sheeran;Bravado,pop,0.5046271473659669,139.975,11B,0.664,0.491,9,1,4,-10.517,0.277,0.708,0.0811,0.0283
80,143,2l3dFxtoSMgMQVyRIUHjpz,Akhiyaan,Mitraz,pop,0.395564940665979,100.021,10B,0.618,0.0683,2,1,4,-9.007,0.0533,0.704,0.0886,0.0534
81,82,1euRAecw6xEwkt6lPXMbFP,Shivers,Ed Sheeran,pop,0.8057365120538333,141.02,10B,0.859,0.822,2,1,4,-2.724,0.281,0.0,0.0424,0.0856
82,7,6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,pop,0.46819548168944447,180.917,10B,0.612,0.178,2,1,4,-7.222,0.584,5.7e-06,0.37,0.112
83,107,3OK2VUpcjQQZAqGHw95N4G,26 Blvd,Prem Dhillon,pop,0.6951572084565567,173.913,10B,0.799,0.558,2,1,4,-4.87,0.0405,0.0,0.452,0.377
84,21,5RTQ7QLKmUyWMl0jdPJzhp,DEAD ZONE,Gulab Sidhu;Jay Dee,pop,0.6509999063567816,163.628,10A,0.644,0.538,11,0,4,-3.96,0.0324,0.0,0.644,0.35
85,141,2sHYMLUd4nVLxHPKY05Ein,Habibi - Albanian Remix,Ricky Rich;Dardan;DJ Gimi-O,pop,0.4378734258394662,103.966,9A,0.728,0.0996,4,0,4,-7.065,0.0223,0.00384,0.68,0.0301
86,132,2bNlWt5B50UyB3Utvscdzz,Adventure of a Lifetime - Matoma Remix,Coldplay;Matoma,pop,0.5547209863516352,112.015,8A,0.771,0.456,9,0,4,-6.541,0.00381,1.71e-05,0.238,0.0313
87,48,1ax8ZuwRVkSdzzsIqyCNWQ,Tumse Milke Dil Ka,Sonu Nigam;Sabri Brothers,pop,0.6739134879409034,107.985,8A,0.745,0.882,9,0,4,-8.636,0.0642,1.87e-06,0.0274,0.109
88,119,5CSEaABQkS1hoLza0IpK2r,Kala Chashma,Amar Arshi;Badshah;Neha Kakkar;Indeep Bakshi;Prem & Hardeep,pop,0.7602760850003735,106.026,8B,0.856,0.919,0,1,4,-4.233,0.0984,6.62e-05,0.228,0.065
89,25,1rvJahl2EPy25dSsBNzTr4,"Adipoli (From ""Think Originals"")",Siddhu Kumar;Vineeth Sreenivasan;K. Sivaangi,pop,0.5810183070420937,149.982,8B,0.6,0.706,0,1,4,-7.751,0.586,7.65e-06,0.15,0.3
90,135,0Jj3HijYvpp6UBVJeQPNQh,Come Around Me,Justin Bieber,pop,0.6380229956304329,157.944,7A,0.681,0.766,2,0,4,-8.389,0.263,0.00761,0.0971,0.0379
91,81,2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,pop,0.6463337421556357,138.113,5A,0.703,0.595,0,0,4,-5.672,0.109,0.0,0.0657,0.0369
92,56,2TcRvzS7C22LePsokUOHnn,Jiske Aane Se Mukammal,Prashant Katheriya,pop,0.5789866018876539,139.733,5A,0.277,0.88,0,0,4,-6.119,0.871,4.6e-05,0.151,0.0292
93,144,1JyC0QIAcBdBZPtrv1glty,All Around Me,Justin Bieber,pop,0.48603397290546446,117.148,5B,0.438,0.694,3,1,4,-7.564,0.811,0.0,0.212,0.0372
94,46,4tMwHkxBwnGkts9mxFpwQy,Medley: Kehna Galat Galat / Halka Halka Suroor,Madhur Sharma;Nusrat Fateh Ali Khan,pop,0.5484744804928245,114.986,4B,0.506,0.703,8,1,4,-8.579,0.484,0.0,0.0944,0.037
95,10,5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,pop,0.47484618802790124,120.001,4B,0.52,0.37,8,1,4,-7.747,0.859,0.0,0.115,0.0353
96,106,1G1Z9hpmbR5yRBBFRzu5D3,Drummer Boy,Justin Bieber;Busta Rhymes,pop,0.5991259485008543,122.991,4B,0.85,0.491,8,1,4,-8.327,0.025,0.000131,0.149,0.0819
97,38,0ZHILXmUaVSLEOCWxPQ1ga,Makhna,Tanishk Bagchi;Yasser Desai;Asees Kaur,pop,0.5424869077488016,124.972,3B,0.704,0.426,1,1,4,-7.876,0.167,0.0,0.155,0.0423
98,94,3ZGJhN4unVspOqpwGvUL2W,Lemonade,Diljit Dosanjh,pop,0.7011794670928796,143.998,3B,0.744,0.783,1,1,4,-7.245,0.281,0.0,0.0763,0.0414
99,134,7d4ZrG3Cer7jbqIl6wOI6D,GODSPEED,Tyson Sidhu,pop,0.6782114326374944,100.012,3B,0.673,0.759,1,1,4,-5.576,0.309,0.0,0.174,0.138
100,99,5mNOfozRJBZGnq4gO4rwM2,Bamb Agya,Gur Sidhu;Jasmine Sandlas;Kaptaan,pop,0.6220697245600623,93.012,3B,0.709,0.499,1,1,4,-3.937,0.0235,0.0,0.0834,0.0408
101,133,5fXslGZPI5Cco6PKHzlSL3,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas;Garry Sandhu;Tanishk Bagchi;Intense,pop,0.7088735110516599,94.993,3B,0.919,0.494,1,1,4,-1.294,0.101,0.00343,0.0598,0.0938
102,83,6G699QfN1BWYWXfiblH51F,"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi;Zahrah S Khan;Dev Negi,pop,0.737662129875397,101.0,4B,0.911,0.78,8,1,4,-2.812,0.0137,0.00081,0.0593,0.0572
103,51,5voGwQrvBz8ZlhU05NZvw4,Daryaa,Ammy Virk;Shahid Mallya,pop,0.41634689003787456,91.999,4B,0.526,0.231,8,1,4,-5.029,0.153,2.34e-06,0.103,0.0251
104,5,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,pop,0.3771556624220613,95.05,4B,0.448,0.168,8,1,3,-6.312,0.163,0.0,0.106,0.0232
105,68,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,pop,0.5875412161743693,116.959,3B,0.692,0.454,1,1,3,-2.958,0.0157,0.0,0.0864,0.0259
106,39,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,pop,0.4428830271587715,134.17,3B,0.593,0.175,1,1,3,-4.954,0.17,0.0,0.307,0.0356
107,70,6vJaXvEXh6HOeiEZLFDhrp,You Belong With Me (Taylor’s Version),Taylor Swift,pop,0.6050130996951205,130.033,2B,0.773,0.474,6,1,4,-4.856,0.0623,0.0,0.0885,0.0346
108,147,6Ymn4OG92TLMGczLHLwUhh,All Around The World,Justin Bieber;Ludacris,pop,0.7228080806993212,128.009,2A,0.816,0.798,3,0,4,-3.949,0.0217,2.92e-06,0.167,0.191
109,97,4qoIqWSly3rnZdCTgtcCMz,Pta Mainu,Harvi,pop,0.6216660463842301,90.047,2A,0.825,0.631,3,0,4,-4.417,0.0527,0.0,0.0963,0.196
110,78,07fDD54BLVrdAvM4krVGlG,Black Life,Navaan Sandhu,pop,0.5576676909179006,89.81,2A,0.682,0.646,3,0,4,-6.518,0.00392,0.0,0.181,0.137
111,16,2TzyJEUfWHGRsk3r6Emvbk,Daru Badnaam,Param Singh;Kamal Kahlon;Pratik Studio,pop,0.6025912464137473,90.037,1A,0.676,0.845,8,0,4,-3.893,0.442,0.0,0.159,0.153
112,115,4cktbXiXOapiLBMprHFErI,Memories,Maroon 5,pop,0.48545913465215096,91.05,1B,0.327,0.595,11,1,4,-7.241,0.841,0.0,0.0821,0.0557
113,65,1v1oIWf2Xgh54kIWuKsDf6,Runaway,AURORA,pop,0.2552490886903449,114.089,1B,0.302,0.123,11,1,4,-9.214,0.629,7.83e-05,0.104,0.0372
114,17,1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5;Wiz Khalifa,pop,0.6259692961469504,110.015,12B,0.752,0.545,4,1,4,-4.813,0.0188,0.0,0.287,0.0414
115,89,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,pop,0.767054231985123,124.99,12B,0.787,0.888,4,1,4,-2.494,0.009,0.0,0.0596,0.0737
116,32,5rRifW8OsCeZaqDPjxTSTq,Cherry,Lana Del Rey,pop,0.34471885644157674,121.292,1A,0.533,0.347,8,0,3,-9.493,0.0471,0.00107,0.384,0.0613
117,104,4OQFlJOSID2AzpmOcuDlJl,Baarish Ki Jaaye,B Praak;Nawazuddin Siddiqui;Sunanda Sharma,pop,0.6422227296121965,157.487,2A,0.765,0.475,3,0,3,-2.625,0.319,0.0,0.332,0.184
118,36,0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),Witt Lowry;Ava Max,pop,0.5758512955658878,170.039,2A,0.788,0.228,3,0,4,-4.113,0.0134,0.0,0.363,0.215
119,88,208sMwgVcaFt2mT79Df1KG,"Naacho Naacho (From ""Rrr"")",Vishal Mishra;Rahul Sipligunj;M. M. Keeravani,pop,0.7177747737415158,159.894,3A,0.986,0.736,10,0,4,-3.384,0.35,0.000343,0.0773,0.14
120,117,2yk5oILHrpqErkYTuu2nQm,Mere Dil Gaaye Ja (Zooby Zooby),Tanishk Bagchi;Zahrah S Khan;Yash Narvekar;Bappi Lahiri,pop,0.6533029035280259,129.024,4A,0.902,0.618,5,0,4,-6.512,0.0161,0.00795,0.141,0.0342
121,49,5x72Q1SyiDHJ4IF2mRzfkg,"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar;Tanishk Bagchi,pop,0.7745227505128474,126.013,4A,0.95,0.746,5,0,4,-3.604,0.191,1.41e-05,0.0969,0.0759
122,31,7AHKnQ6XB5l7GL4pTJWLZn,Kutty Pattas,Santhosh Dhayanidhi;Rakshita Suresh,pop,0.5944258635430528,132.955,4A,0.467,0.742,5,0,4,-10.48,0.178,0.0,0.0802,0.199
123,79,6Xh1mVYnEauD71lkhLfAz2,She's The One,JERRY;Devilo,pop,0.4498304991128599,133.98,4A,0.487,0.498,5,0,4,-7.456,0.181,0.0,0.105,0.0753
124,59,5QyOjKJhR1iyF0DHQM2IvW,Tareefan,QARAN;Badshah,pop,0.5418726840259092,98.012,4A,0.654,0.335,5,0,4,-6.26,0.0942,5.01e-06,0.2,0.0685
125,14,7cC4Y0jQZ4eRoRqRQIau1x,Sorry,Justin Bieber,pop,0.5852996844371542,100.035,5A,0.748,0.438,0,0,4,-3.624,0.0878,0.0,0.299,0.0385
126,23,4g7118rCobKcU4XQXSFlBS,The Hills,The Weeknd,pop,0.39275387221549335,112.98,5A,0.551,0.125,0,0,4,-7.007,0.0845,0.0,0.139,0.0687
